Artist,Score,Rank,Number Of Albums
possessed,2423,441,3
5 seconds of summer,2423,441,5
my ruin,2420,443,8
nothing nowhere,2406,444,4
helloween,2402,445,16
amorphis,2390,446,14
comeback kid,2388,447,7
scissorfight,2381,448,7
roam,2351,449,4
la dispute,2350,450,4
willow,2345,451,5
the sword,2316,452,6
biohazard,2313,453,9
blood command,2301,454,4
my dying bride,2286,455,13
nails,2285,456,3
khanate,2283,457,4
hell,2280,458,2
puscifer,2257,459,4
amen,2255,460,4
spiritbox,2253,461,1
at the drive in,2250,462,4
the ghost inside,2244,463,5
sigh,2243,464,12
godspeed you black emperor,2234,465,7
undeath,2231,466,2
samiam,2231,466,8
emma ruth rundle,2226,468,6
one ok rock,2226,468,10
hawk eyes,2225,470,4
slaves,2223,471,5
rival schools,2222,472,3
esoteric,2222,472,8
like pacific,2221,474,3
sleep on it,2220,475,3
finch,2211,476,3
stone temple pilots,2209,477,8
ghostemane,2206,478,8
fu manchu,2199,479,12
the amity affliction,2194,480,7
black veil brides,2189,481,6
hundred reasons,2188,482,4
microwave,2182,483,3
the regrettes,2182,483,3
taint,2176,485,2
bob vylan,2162,486,3
cursed,2152,487,3
cane hill,2149,488,3
northlane,2148,489,6
velvet revolver,2144,490,2
lacuna coil,2143,491,9
soil,2142,492,6
the callous daoboys,2139,493,2
eternal champion,2137,494,2
spycatcher,2128,495,1
mewithoutyou,2124,496,7
rival sons,2121,497,6
thursday,2111,498,6
skindred,2107,499,7
bon iver,2105,500,4
grandaddy,2094,501,5
manchester orchestra,2081,502,6
hellions,2076,503,4
in solitude,2073,504,3
loathe,2068,505,3
slash,2050,506,5
the workhorse movement,2048,507,1
the chats,2045,508,2
fever 333,2044,509,1
trophy eyes,2043,510,3
the maine,2042,511,8
bloc party,2038,512,6
filter,2038,512,8
hot water music,2037,514,9
amon amarth,2033,515,12
machine gun kelly,2022,516,6
i prevail,2015,517,3
heaven and hell,2011,518,1
slaves to gravity,2010,519,2
eminem,2002,520,11
rem,2000,521,2
guns and roses,2000,521,3
lynyrd skynyrd,2000,521,2
dead kennedys,2000,521,2
sick of it all,2000,521,2
butthole surfers,2000,521,2
obituary,2000,521,2
budgie,2000,521,2
trouble,2000,521,2
brutal truth,2000,521,2
don henley,2000,521,2
bon jovi,2000,521,2
sabbat,2000,521,2
black flag,2000,521,2
primus,2000,521,2
billy idol,2000,521,2
mercyful fate,2000,521,2
big black,2000,521,2
living colour,2000,521,2
white zombie,2000,521,2
jeff beck,2000,521,2
allman brothers band,2000,521,2
iggy pop,2000,521,2
agnostic front,2000,521,2
elton john,2000,521,2
tom petty,2000,521,2
destruction,2000,521,2
the yardbirds,2000,521,2
santana,2000,521,2
the small faces,2000,521,2
rollins band,2000,521,2
venom,2000,521,2
prong,2000,521,2
the mothers of invention,2000,521,2
poison,2000,521,2
the kinks,2000,521,2
u2,2000,521,2
the damned,2000,521,2
manic street preachers,2000,521,2
the cars,2000,521,2
los lobos,2000,521,2
the beach boys,2000,521,2
kyuss,2000,521,2
the band,2000,521,2
wasp,2000,521,2
ted nugent,2000,521,2
jefferson airplane,2000,521,2
talking heads,2000,521,2
iron monkey,2000,521,2
van morrison,2000,521,2
hole,2000,521,2
sting,2000,521,2
eric clapton,2000,521,2
steely dan,2000,521,2
young gods,2000,521,2
sleep,2000,521,2
dire straits,2000,521,2
skunk anansie,2000,521,2
descendents,2000,521,2
skid row,2000,521,2
danzig,2000,521,2
whitesnake,2000,521,2
cinderella,2000,521,2
jethro tull,2000,521,2
keith richards,2000,521,2
joe satriani,2000,521,2
the pretenders,2000,521,2
type o negative,2000,521,2
twisted sister,2000,521,2
suffocation,2000,521,2
fidlar,1998,591,3
gatecreeper,1997,592,3
therapy,1996,593,15
gerard way,1993,594,1
swmrs,1992,595,2
killer be killed,1991,596,2
dragonforce,1985,597,8
the datsuns,1981,598,7
thorns,1980,599,1
the devils blood,1977,600,3
heilung,1975,601,3
liberty 37,1957,602,2
royal thunder,1956,603,3
the chariot,1956,603,5
keith caputo,1956,603,7
sonja,1955,606,1
les savy fav,1951,607,5
strapping young lad,1949,608,5
we are harlot,1948,609,1
halestorm,1938,610,5
earth,1935,611,9
snake river conspiracy,1933,612,1
rivers of nihil,1931,613,4
emma ruth rundle/thou,1930,614,1
atreyu,1922,615,8
polar bear club,1921,616,4
serj tankian,1917,617,5
botch,1912,618,3
lorna shore,1909,619,4
no devotion,1902,620,2
disturbed,1887,621,8
arcane roots,1884,622,3
wage war,1881,623,4
andy black,1880,624,2
balance and composure,1877,625,3
the horrible crowes,1875,626,1
melissa auf der maur,1874,627,2
static x,1865,628,7
soul glo,1863,629,4
run the jewels,1861,630,4
the james cleaver quintet,1852,631,2
the scars on broadway,1849,632,2
turisas,1848,633,4
paysage d'hiver,1838,634,2
black spiders,1820,635,3
raging speedhorn,1818,636,6
apparition,1816,637,1
mike shinoda,1813,638,2
drug church,1813,638,4
mouth of the architect,1810,640,5
murderdolls,1797,641,2
my vitriol,1796,642,2
blackbraid,1794,643,1
ruins of beverast,1793,644,6
culture abuse,1790,645,2
midnight,1784,646,5
thy art is murder,1782,647,5
mushroomhead,1774,648,9
blessthefall,1774,648,6
earthtone9,1772,650,4
witch fever,1771,651,1
foxing,1770,652,4
crypt sermon,1768,653,2
cypress hill,1760,654,10
hopesfall,1751,655,5
travis,1750,656,9
oathbreaker,1742,657,3
sparta,1736,658,5
cavalera conspiracy,1734,659,4
silversun pickups,1733,660,6
emmure,1733,660,8
longwave,1729,662,5
box car racer,1728,663,1
we are the ocean,1727,664,4
brigade,1718,665,4
keelhaul,1707,666,4
the icarus line,1704,667,6
the crocketts,1703,668,2
cryptic shift,1700,669,1
death cab for cutie,1700,669,10
incantation,1688,671,11
fight paris,1685,672,1
tomahawk,1685,672,5
a,1682,674,4
panopticon,1678,675,9
beherit,1677,676,5
sleeping with sirens,1667,677,7
dinosaur pile up,1664,678,4
eighties matchbox b-line disaster,1659,679,0
static dress,1656,680,1
motionless in white,1656,680,6
scowl,1655,682,1
pissed jeans,1643,683,5
the raconteurs,1640,684,3
probot,1638,685,1
hot hot heat,1637,686,5
grayscale,1628,687,4
the unwinding hours,1621,688,2
fantomas,1617,689,4
lostalone,1615,690,4
frost,1613,691,2
boy hits car,1612,692,5
sunna,1611,693,4
negura bunget,1605,694,8
the gospel youth,1605,694,1
armored saint,1596,696,8
whitechapel,1596,696,8
eden maine,1596,696,2
the hold steady,1595,699,8
million dead,1593,700,2
40 watt sun,1593,700,3
pod,1590,702,10
alien ant farm,1589,703,6
miocene,1588,704,2
tomb mold,1584,705,3
cant swim,1582,706,3
night marchers,1573,707,2
death from above,1570,708,4
hooded menace,1563,709,6
make do and mend,1554,710,3
mars volta,1550,711,0
hatebreed,1548,712,8
elbow,1543,713,9
groop dogdrill,1542,714,2
pinkshift,1541,715,1
schammasch,1538,716,4
evoken,1537,717,7
dimmu borgir,1537,717,9
agoraphobic nosebleed,1531,719,4
trash talk,1529,720,5
the devil wears prada,1523,721,9
say anything,1523,721,8
russian circles,1519,723,8
wormrot,1518,724,4
unsane,1514,725,8
daughters,1513,726,4
milk teeth,1512,727,2
the fall of troy,1509,728,6
shrinebuilder,1505,729,1
anyone,1497,730,4
palisades,1490,731,5
steven wilson,1486,732,6
public enemy,1481,733,14
martin grech,1478,734,4
the great deceiver,1475,735,3
urne,1471,736,1
titus andronicus,1469,737,7
today is the day,1469,737,11
greta van fleet,1467,739,2
funeral mist,1463,740,4
arcturus,1463,740,5
red sparrowes,1462,742,3
melechesh,1460,743,6
beach slang,1459,744,3
glass and ashes,1458,745,2
head automatica,1454,746,2
yeah yeah yeahs,1453,747,5
blindside,1452,748,6
one minute silence,1450,749,3
denzel curry,1449,750,5
dewayne,1448,751,2
king 810,1441,752,4
graveyard,1438,753,5
battles,1434,754,4
abominable iron sloth,1433,755,2
december,1429,756,3
everlast,1427,757,7
i am the avalanche,1424,758,4
amebix,1415,759,3
unearth,1415,759,7
leathermouth,1413,761,1
the damned things,1411,762,2
job for a cowboy,1411,762,4
falling in reverse,1410,764,4
clouddead,1408,765,2
my morning jacket,1407,766,9
jj72,1406,767,2
accept,1402,768,16
integrity,1398,769,10
exodus,1396,770,11
bleed from within,1392,771,6
karnivool,1390,772,3
red harvest,1389,773,7
midasuno,1388,774,1
sword,1387,775,1
sentenced,1386,776,8
eighties matchbox b line disaster,1385,777,3
green lung,1379,778,2
exit ten,1376,779,3
brian fallon,1372,780,3
gay for johnny depp,1371,781,3
japandroids,1370,782,3
black math horseman,1367,783,1
peeping tom,1364,784,1
god forbid,1363,785,6
silver ginger 5,1358,786,1
gaerea,1357,787,3
ulcerate,1355,788,6
chunk no captain chunk,1350,789,4
transistor transistor,1349,790,2
rob lynch,1349,790,2
snapcase,1348,792,5
the subways,1343,793,4
municipal waste,1342,794,7
nasum,1340,795,4
the hives,1339,796,5
poison the well,1338,797,5
beautiful creatures,1336,798,2
six by seven,1335,799,8
nechochwen,1334,800,6
end,1332,801,1
marduk,1332,801,14
nadja,1328,803,22
cage the elephant,1323,804,5
forward russia,1318,805,2
circa survive,1317,806,7
desert sessions,1315,807,6
black rebel motorcycle club,1314,808,8
magnolia park,1311,809,1
lafaro,1311,809,2
modern baseball,1305,811,3
evile,1300,812,5
bigelf,1298,813,4
get cape wear cape fly,1295,814,6
cooper temple clause,1291,815,3
minus,1290,816,4
doves,1289,817,5
ls dunes,1288,818,1
pentagram,1288,818,8
lamp of murmuur,1285,820,2
manowar,1284,821,11
bad rabbits,1279,822,3
gentlemans pistols,1277,823,3
mew,1271,824,7
ephel duath,1269,825,5
dukes of nothing,1268,826,1
the delta 72,1266,827,3
bloodywood,1265,828,2
sweven,1263,829,1
dream state,1262,830,1
amenra,1259,831,7
muncie girls,1259,831,2
sharks,1255,833,2
madina lake,1252,834,3
of mice and men,1251,835,7
the mirimar disaster,1251,835,2
sikth,1246,837,3
new end original,1244,838,1
fuck buttons,1238,839,3
smoke or fire,1238,839,4
goatsnake,1236,841,3
hit the lights,1235,842,4
fatherson,1234,843,4
we came as romans,1233,844,6
from first to last,1231,845,5
kinison,1224,846,1
jet,1223,847,3
blood ceremony,1217,848,5
explosions in the sky,1204,849,7
bloodsimple,1202,850,2
